Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,0.45,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55,900,495000,247500,0.5,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500,0.35,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.35,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet
Kohl's,1189833,5/11/2021,West,California,Los Angeles,Men's Apparel,60,650,390000,214500,0.55,Outlet
Kohl's,1189833,5/12/2021,West,California,Los Angeles,Women's Apparel,65,700,455000,91000,0.2,Outlet
Kohl's,1189833,5/13/2021,West,California,Los Angeles,Men's Street Footwear,50,800,400000,160000,0.4,Outlet
Kohl's,1189833,5/14/2021,West,California,Los Angeles,Men's Athletic Footwear,55,800,440000,110000,0.25,Outlet
Kohl's,1189833,5/15/2021,West,California,Los Angeles,Women's Street Footwear,50,650,325000,130000,0.4,Outlet
Kohl's,1189833,5/16/2021,West,California,Los Angeles,Women's Athletic Footwear,50,625,312500,109375,0.35,Outlet
Kohl's,1189833,5/17/2021,West,California,Los Angeles,Men's Apparel,60,600,360000,198000,0.55,Outlet
Kohl's,1189833,5/18/2021,West,California,Los Angeles,Women's Apparel,65,650,422500,84500,0.2,Outlet
Kohl's,1189833,5/19/2021,West,California,Los Angeles,Men's Street Footwear,50,825,412500,165000,0.4,Outlet
Kohl's,1189833,5/20/2021,West,California,Los Angeles,Men's Athletic Footwear,55,825,453750,113437.5,0.25,Outlet
Kohl's,1189833,5/21/2021,West,California,Los Angeles,Women's Street Footwear,50,675,337500,135000,0.4,Outlet
Kohl's,1189833,5/22/2021,West,California,Los Angeles,Women's Athletic Footwear,50,650,325000,113750,0.35,Outlet
Kohl's,1189833,5/23/2021,West,California,Los Angeles,Men's Apparel,60,600,360000,198000,0.55,Outlet
Kohl's,1189833,5/24/2021,West,California,Los Angeles,Women's Apparel,65,700,455000,91000,0.2,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,50,900,450000,180000,0.4,Outlet
Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,55,900,495000,123750,0.25,Outlet
Kohl's,1189833,5/27/2021,West,California,Los Angeles,Women's Street Footwear,50,700,350000,140000,0.4,Outlet
Kohl's,1189833,5/28/2021,West,California,Los Angeles,Women's Athletic Footwear,50,700,350000,122500,0.35,Outlet
Kohl's,1189833,5/29/2021,West,California,Los Angeles,Men's Apparel,60,625,375000,206250,0.55,Outlet
Kohl's,1189833,5/30/2021,West,California,Los Angeles,Women's Apparel,65,725,471250,94250,0.2,Outlet
Foot Locker,1185732,5/31/2021,West,California,Los Angeles,Men's Street Footwear,45,475,213750,85500,0.4,Outlet
Foot Locker,1185732,6/1/2021,West,California,Los Angeles,Men's Athletic Footwear,45,275,123750,43312.5,0.35,Outlet
Foot Locker,1185732,6/2/2021,West,California,Los Angeles,Women's Street Footwear,35,275,96250,33687.5,0.35,Outlet
Foot Locker,1185732,6/3/2021,West,California,Los Angeles,Women's Athletic Footwear,40,125,50000,20000,0.4,Outlet
Foot Locker,1185732,6/4/2021,Midwest,Illinois,Chicago,Men's Apparel,55,175,96250,33687.5,0.35,Outlet
Foot Locker,1185732,6/5/2021,Midwest,Illinois,Chicago,Women's Apparel,45,275,123750,61875,0.5,Outlet
Foot Locker,1185732,6/6/2021,Midwest,Illinois,Chicago,Men's Street Footwear,45,525,236250,94500,0.4,Outlet
Foot Locker,1185732,6/7/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,45,175,78750,27562.5,0.35,Outlet
Foot Locker,1185732,6/8/2021,Midwest,Illinois,Chicago,Women's Street Footwear,35,225,78750,27562.5,0.35,Outlet
Foot Locker,1185732,7/7/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,45,325,146250,51187.5,0.35,Outlet
Foot Locker,1185732,7/8/2021,Midwest,Illinois,Chicago,Women's Street Footwear,40,250,100000,35000,0.35,Outlet
Foot Locker,1185732,7/9/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,40,200,80000,32000,0.4,Outlet
Foot Locker,1185732,7/10/2021,Midwest,Illinois,Chicago,Men's Apparel,50,225,112500,39375,0.35,Outlet
Foot Locker,1185732,7/11/2021,Midwest,Illinois,Chicago,Women's Apparel,55,400,220000,110000,0.5,Outlet
Foot Locker,1185732,7/12/2021,Midwest,Illinois,Chicago,Men's Street Footwear,50,500,250000,100000,0.4,Outlet
Foot Locker,1185732,7/13/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,45,300,135000,47250,0.35,Outlet
Foot Locker,1185732,7/14/2021,Midwest,Illinois,Chicago,Women's Street Footwear,40,200,80000,28000,0.35,Outlet
Foot Locker,1185732,7/15/2021,Midwest,Illinois,Chicago,Men's Apparel,60,150,90000,31500,0.35,Outlet
Foot Locker,1185732,7/16/2021,Midwest,Illinois,Chicago,Women's Apparel,65,250,162500,81250,0.5,Outlet
Foot Locker,1185732,7/17/2021,Midwest,Illinois,Chicago,Men's Street Footwear,60,500,300000,120000,0.4,Outlet
Foot Locker,1185732,7/18/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,50,300,150000,52500,0.35,Outlet
Foot Locker,1185732,7/19/2021,Midwest,Illinois,Chicago,Women's Street Footwear,50,250,125000,43750,0.35,Outlet
Foot Locker,1185732,7/20/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,50,200,100000,40000,0.4,Outlet
Foot Locker,1185732,7/21/2021,Midwest,Illinois,Chicago,Men's Apparel,60,200,120000,42000,0.35,Outlet
Foot Locker,1185732,7/22/2021,Midwest,Illinois,Chicago,Women's Apparel,65,300,195000,97500,0.5,Outlet
Foot Locker,1185732,7/23/2021,Midwest,Illinois,Chicago,Men's Street Footwear,20,725,145000,43500,0.3,Outlet
Foot Locker,1185732,7/24/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,30,725,217500,65250,0.3,Outlet
Foot Locker,1185732,7/25/2021,Midwest,Illinois,Chicago,Women's Street Footwear,30,525,157500,47250,0.3,Outlet
Foot Locker,1185732,7/26/2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,35,525,183750,73500,0.4,Outlet
Foot Locker,1185732,7/27/2021,South,Texas,Dallas,Men's Apparel,40,375,150000,37500,0.25,Outlet
Foot Locker,1185732,7/28/2021,South,Texas,Dallas,Women's Apparel,35,525,183750,82687.5,0.45,Outlet
Foot Locker,1185732,7/29/2021,South,Texas,Dallas,Men's Street Footwear,25,675,168750,50625,0.3,Outlet
Foot Locker,1185732,7/30/2021,South,Texas,Dallas,Men's Athletic Footwear,35,650,227500,68250,0.3,Outlet
Foot Locker,1185732,7/31/2021,South,Texas,Dallas,Women's Street Footwear,35,475,166250,49875,0.3,Outlet
Foot Locker,1185732,8/1/2021,South,Texas,Dallas,Men's Athletic Footwear,60,825,495000,198000,0.4,Outlet
Foot Locker,1185732,8/2/2021,South,Texas,Dallas,Women's Street Footwear,65,725,471250,188500,0.4,Outlet
Foot Locker,1185732,8/3/2021,South,Texas,Dallas,Women's Athletic Footwear,65,575,373750,186875,0.5,Outlet
Foot Locker,1185732,8/4/2021,South,Texas,Dallas,Men's Apparel,60,525,315000,110250,0.35,Outlet
Foot Locker,1185732,8/5/2021,South,Texas,Dallas,Women's Apparel,70,775,542500,298375,0.55,Outlet
Foot Locker,1185732,8/6/2021,South,Texas,Dallas,Men's Street Footwear,45,425,191250,105187.5,0.55,Outlet
Foot Locker,1185732,8/7/2021,South,Texas,Dallas,Men's Athletic Footwear,45,225,101250,35437.5,0.35,Outlet
Foot Locker,1185732,8/8/2021,South,Texas,Dallas,Women's Street Footwear,35,225,78750,31500,0.4,Outlet
Foot Locker,1185732,8/9/2021,South,Texas,Dallas,Women's Athletic Footwear,40,75,30000,12000,0.4,Outlet
Foot Locker,1185732,8/10/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,55,125,68750,24062.5,0.35,Outlet
Sports Direct,1197831,8/11/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45,225,101250,30375,0.3,Outlet
Sports Direct,1197831,8/12/2021,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,225,123750,49500,0.4,Outlet
Sports Direct,1197831,8/13/2021,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55,200,110000,44000,0.4,Outlet
Sports Direct,1197831,8/14/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,175,113750,39812.5,0.35,Outlet
Sports Direct,1197831,8/15/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,350,245000,73500,0.3,Outlet
Sports Direct,1197831,8/16/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65,475,308750,154375,0.5,Outlet
Sports Direct,1197831,8/17/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50,275,137500,41250,0.3,Outlet
Sports Direct,1197831,8/18/2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,70,150,105000,36750,0.35,Outlet
Sports Direct,1197831,8/19/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,250,187500,56250,0.3,Outlet
Sports Direct,1197831,9/26/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,70,475,332500,182875,0.55,Outlet
Sports Direct,1197831,9/27/2021,West,Nevada,Las Vegas,Men's Apparel,50,250,125000,68750,0.55,Outlet
Sports Direct,1197831,9/28/2021,West,Nevada,Las Vegas,Women's Apparel,45,475,213750,42750,0.2,Outlet
Sports Direct,1197831,9/29/2021,West,Nevada,Las Vegas,Men's Street Footwear,35,525,183750,73500,0.4,Outlet
Sports Direct,1197831,9/30/2021,West,Nevada,Las Vegas,Men's Athletic Footwear,65,550,357500,107250,0.3,Outlet
Sports Direct,1197831,10/1/2021,West,Nevada,Las Vegas,Women's Street Footwear,65,550,357500,160875,0.45,Outlet
Sports Direct,1197831,10/2/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,60,425,255000,102000,0.4,Outlet
Sports Direct,1197831,10/3/2021,West,Nevada,Las Vegas,Men's Apparel,65,300,195000,117000,0.6,Outlet
Sports Direct,1197831,10/4/2021,West,Nevada,Las Vegas,Women's Street Footwear,60,375,225000,78750,0.35,In-store
Sports Direct,1197831,10/5/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,60,350,210000,63000,0.3,In-store
Sports Direct,1197831,10/6/2021,West,Nevada,Las Vegas,Men's Apparel,70,325,227500,113750,0.5,In-store
Sports Direct,1197831,10/7/2021,West,Nevada,Las Vegas,Women's Apparel,75,375,281250,42187.5,0.15,In-store
Sports Direct,1197831,10/8/2021,West,Nevada,Las Vegas,Men's Street Footwear,60,575,345000,120750,0.35,In-store
Sports Direct,1197831,10/9/2021,West,Nevada,Las Vegas,Men's Athletic Footwear,65,575,373750,74750,0.2,In-store
Sports Direct,1197831,10/10/2021,West,Nevada,Las Vegas,Women's Street Footwear,60,425,255000,89250,0.35,In-store
Sports Direct,1197831,10/11/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,60,400,240000,72000,0.3,In-store
Sports Direct,1197831,10/12/2021,West,Nevada,Las Vegas,Men's Apparel,70,350,245000,122500,0.5,In-store
Sports Direct,1197831,10/13/2021,West,Colorado,Denver,Men's Apparel,45,225,101250,50625,0.5,In-store
Sports Direct,1197831,10/14/2021,West,Colorado,Denver,Women's Apparel,40,475,190000,28500,0.15,In-store
Sports Direct,1197831,10/15/2021,West,Colorado,Denver,Men's Street Footwear,30,525,157500,55125,0.35,In-store
Sports Direct,1197831,10/16/2021,West,Colorado,Denver,Men's Athletic Footwear,40,425,170000,34000,0.2,In-store
Sports Direct,1197831,10/17/2021,West,Colorado,Denver,Women's Street Footwear,40,425,170000,59500,0.35,In-store
Sports Direct,1197831,10/18/2021,West,Colorado,Denver,Women's Apparel,80,400,320000,80000,0.25,In-store
Sports Direct,1197831,10/19/2021,West,Colorado,Denver,Men's Street Footwear,65,600,390000,156000,0.4,In-store
Sports Direct,1197831,10/20/2021,West,Colorado,Denver,Men's Athletic Footwear,70,600,420000,105000,0.25,In-store
Sports Direct,1197831,10/21/2021,West,Colorado,Denver,Women's Street Footwear,65,450,292500,117000,0.4,In-store
Foot Locker,1185732,10/22/2021,West,Colorado,Denver,Men's Athletic Footwear,70,700,490000,122500,0.25,In-store
Foot Locker,1185732,10/23/2021,West,Colorado,Denver,Women's Street Footwear,65,500,325000,130000,0.4,In-store
Foot Locker,1185732,10/24/2021,West,Colorado,Denver,Women's Athletic Footwear,65,500,325000,113750,0.35,In-store
Foot Locker,1185732,10/25/2021,West,Colorado,Denver,Men's Apparel,75,425,318750,175312.5,0.55,In-store
Foot Locker,1185732,10/26/2021,West,Colorado,Denver,Women's Apparel,80,525,420000,84000,0.2,In-store
Foot Locker,1185732,10/27/2021,West,Colorado,Denver,Men's Street Footwear,40,450,180000,54000,0.3,In-store
Foot Locker,1185732,12/5/2021,West,Colorado,Denver,Men's Athletic Footwear,50,450,225000,56250,0.25,In-store
Foot Locker,1185732,12/6/2021,West,Colorado,Denver,Women's Street Footwear,50,450,225000,56250,0.25,In-store
Foot Locker,1185732,12/7/2021,West,Colorado,Denver,Women's Athletic Footwear,50,300,150000,45000,0.3,In-store
Foot Locker,1185732,12/8/2021,West,Washington,Seattle,Men's Apparel,55,250,137500,34375,0.25,In-store
Foot Locker,1185732,12/9/2021,West,Washington,Seattle,Women's Street Footwear,80,625,500000,125000,0.25,In-store
Foot Locker,1185732,12/10/2021,West,Washington,Seattle,Women's Athletic Footwear,80,500,400000,120000,0.3,In-store
Foot Locker,1185732,12/25/2021,West,Washington,Seattle,Men's Apparel,85,375,318750,79687.5,0.25,In-store
Foot Locker,1185732,12/26/2021,Southeast,Florida,Miami,Men's Apparel,55,750,412500,144375,0.35,In-store
Foot Locker,1185732,12/27/2021,Southeast,Florida,Miami,Women's Apparel,45,850,382500,191250,0.5,In-store
West Gear,1128299,1/6/2020,Southeast,Florida,Miami,Women's Street Footwear,50,725,362500,90625,0.25,In-store
West Gear,1128299,1/7/2020,Southeast,Florida,Miami,Women's Athletic Footwear,50,700,350000,105000,0.3,In-store
West Gear,1128299,1/8/2020,Southeast,Florida,Miami,Men's Apparel,60,700,420000,147000,0.35,In-store
West Gear,1128299,2/2/2020,Southeast,Florida,Miami,Women's Apparel,65,825,536250,268125,0.5,In-store
West Gear,1128299,2/3/2020,Southeast,Florida,Miami,Men's Street Footwear,60,975,585000,263250,0.45,In-store
West Gear,1128299,2/4/2020,Southeast,Florida,Miami,Men's Athletic Footwear,50,800,400000,140000,0.35,In-store
West Gear,1128299,2/5/2020,Southeast,Florida,Miami,Women's Street Footwear,50,745,372500,93125,0.25,In-store
West Gear,1128299,2/27/2020,Southeast,Florida,Miami,Women's Athletic Footwear,50,775,387500,116250,0.3,In-store
West Gear,1128299,2/28/2020,Southeast,Florida,Miami,Men's Apparel,65,750,487500,170625,0.35,In-store
West Gear,1128299,3/1/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45,150,67500,20250,0.3,In-store
West Gear,1128299,3/2/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,35,250,87500,39375,0.45,In-store
West Gear,1128299,3/3/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,35,500,175000,61250,0.35,In-store
West Gear,1128299,3/4/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,35,150,52500,15750,0.3,In-store
West Gear,1128299,3/5/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25,200,50000,15000,0.3,In-store
West Gear,1128299,3/6/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,30,75,22500,7875,0.35,In-store
West Gear,1128299,3/7/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45,150,67500,20250,0.3,In-store
West Gear,1128299,3/19/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,35,225,78750,35437.5,0.45,In-store
West Gear,1128299,3/20/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,40,445,178000,62300,0.35,In-store
West Gear,1128299,3/21/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45,300,135000,40500,0.3,Outlet
West Gear,1128299,3/22/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,225,90000,27000,0.3,Outlet
West Gear,1128299,3/23/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,175,70000,24500,0.35,Outlet
West Gear,1128299,3/24/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,50,200,100000,30000,0.3,Outlet
West Gear,1128299,3/25/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,55,375,206250,92812.5,0.45,Outlet
West Gear,1128299,3/26/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50,525,262500,91875,0.35,Outlet
West Gear,1128299,3/27/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45,300,135000,40500,0.3,Outlet
West Gear,1128299,3/28/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,225,90000,27000,0.3,Outlet
West Gear,1128299,3/29/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,175,61250,21437.5,0.35,Outlet
West Gear,1128299,3/30/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45,150,67500,20250,0.3,Outlet
West Gear,1128299,3/31/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,50,325,162500,73125,0.45,Outlet
West Gear,1128299,4/15/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,45,450,202500,70875,0.35,Outlet
West Gear,1128299,4/16/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40,250,100000,30000,0.3,Outlet
West Gear,1128299,4/17/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25,150,37500,11250,0.3,Outlet
West Gear,1128299,4/18/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,25,125,31250,10937.5,0.35,Outlet
West Gear,1128299,4/19/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,35,125,43750,13125,0.3,Outlet
West Gear,1128299,4/20/2020,Midwest,Montana,Billings,Men's Apparel,50,275,137500,82500,0.6,Outlet
West Gear,1128299,4/21/2020,Midwest,Montana,Billings,Women's Apparel,45,475,213750,53437.5,0.25,Outlet
West Gear,1128299,4/22/2020,Midwest,Montana,Billings,Men's Street Footwear,35,525,183750,82687.5,0.45,Outlet
West Gear,1128299,4/23/2020,Midwest,Montana,Billings,Men's Street Footwear,40,675,270000,121500,0.45,Outlet
West Gear,1128299,4/24/2020,Midwest,Montana,Billings,Men's Athletic Footwear,45,525,236250,70875,0.3,Outlet
West Gear,1128299,4/25/2020,Midwest,Montana,Billings,Women's Street Footwear,45,550,247500,111375,0.45,Outlet
West Gear,1128299,4/26/2020,Midwest,Montana,Billings,Women's Athletic Footwear,40,425,170000,68000,0.4,Outlet
West Gear,1128299,4/27/2020,Midwest,Montana,Billings,Men's Apparel,45,300,135000,81000,0.6,Outlet
West Gear,1128299,4/28/2020,Midwest,Montana,Billings,Women's Apparel,60,600,360000,90000,0.25,Outlet
West Gear,1128299,4/29/2020,Midwest,Montana,Billings,Men's Street Footwear,40,750,300000,135000,0.45,Outlet
West Gear,1128299,4/30/2020,Midwest,Montana,Billings,Men's Athletic Footwear,45,600,270000,81000,0.3,Outlet
West Gear,1128299,5/1/2020,Midwest,Montana,Billings,Women's Street Footwear,40,425,170000,76500,0.45,Outlet
West Gear,1128299,5/2/2020,Midwest,Montana,Billings,Women's Athletic Footwear,40,425,170000,68000,0.4,Outlet
West Gear,1128299,5/3/2020,Midwest,Montana,Billings,Men's Apparel,55,375,206250,123750,0.6,Outlet
West Gear,1128299,5/4/2020,Midwest,Montana,Billings,Women's Apparel,60,475,285000,71250,0.25,Outlet
West Gear,1128299,5/5/2020,Midwest,Montana,Billings,Men's Street Footwear,45,675,303750,136687.5,0.45,Outlet
West Gear,1128299,5/6/2020,Midwest,Montana,Billings,Men's Athletic Footwear,50,675,337500,101250,0.3,Outlet
West Gear,1128299,5/7/2020,Midwest,Montana,Billings,Women's Street Footwear,45,475,213750,96187.5,0.45,Outlet
West Gear,1128299,5/8/2020,Midwest,Montana,Billings,Women's Athletic Footwear,45,475,213750,85500,0.4,Outlet
West Gear,1128299,5/9/2020,South,Tennessee,Knoxville,Men's Apparel,40,350,140000,42000,0.3,Outlet
West Gear,1128299,5/10/2020,South,Tennessee,Knoxville,Women's Apparel,35,500,175000,87500,0.5,Outlet
West Gear,1128299,5/11/2020,South,Tennessee,Knoxville,Men's Street Footwear,25,650,162500,56875,0.35,Outlet
West Gear,1128299,5/12/2020,South,Tennessee,Knoxville,Women's Street Footwear,20,600,120000,48000,0.4,Outlet
West Gear,1128299,5/13/2020,South,Tennessee,Knoxville,Women's Athletic Footwear,30,525,157500,78750,0.5,Outlet
West Gear,1128299,5/14/2020,South,Tennessee,Knoxville,Men's Apparel,45,425,191250,66937.5,0.35,Outlet
West Gear,1128299,5/15/2020,South,Tennessee,Knoxville,Women's Apparel,40,775,310000,170500,0.55,Outlet
West Gear,1128299,5/16/2020,South,Tennessee,Knoxville,Men's Street Footwear,40,775,310000,124000,0.4,Outlet
West Gear,1128299,5/17/2020,South,Tennessee,Knoxville,Men's Athletic Footwear,45,775,348750,139500,0.4,Outlet
West Gear,1128299,5/18/2020,South,Tennessee,Knoxville,Women's Street Footwear,40,650,260000,104000,0.4,Outlet
West Gear,1128299,5/19/2020,South,Tennessee,Knoxville,Women's Athletic Footwear,40,600,240000,120000,0.5,Outlet
West Gear,1128299,5/20/2020,South,Tennessee,Knoxville,Women's Athletic Footwear,40,375,150000,82500,0.55,Outlet
West Gear,1128299,5/21/2020,South,Tennessee,Knoxville,Men's Apparel,35,350,122500,49000,0.4,Outlet
West Gear,1128299,5/22/2020,South,Tennessee,Knoxville,Women's Apparel,45,525,236250,141750,0.6,Outlet
West Gear,1128299,5/23/2020,South,Tennessee,Knoxville,Men's Street Footwear,30,675,202500,91125,0.45,Outlet
West Gear,1128299,5/24/2020,South,Tennessee,Knoxville,Men's Athletic Footwear,30,675,202500,91125,0.45,Outlet
West Gear,1128299,5/25/2020,South,Tennessee,Knoxville,Women's Street Footwear,55,600,330000,148500,0.45,Outlet
West Gear,1128299,5/26/2020,South,Tennessee,Knoxville,Women's Athletic Footwear,55,475,261250,143687.5,0.55,Outlet
West Gear,1128299,5/27/2020,South,Tennessee,Knoxville,Men's Apparel,55,450,247500,99000,0.4,Outlet
West Gear,1128299,5/28/2020,South,Tennessee,Knoxville,Women's Apparel,65,650,422500,253500,0.6,Outlet
West Gear,1128299,5/29/2020,South,Tennessee,Knoxville,Men's Street Footwear,55,800,440000,198000,0.45,Outlet
West Gear,1128299,5/30/2020,South,Tennessee,Knoxville,Men's Athletic Footwear,55,800,440000,198000,0.45,Outlet
West Gear,1128299,6/27/2020,South,Tennessee,Knoxville,Women's Street Footwear,60,700,420000,189000,0.45,Outlet
West Gear,1128299,6/28/2020,South,Tennessee,Knoxville,Women's Athletic Footwear,60,550,330000,181500,0.55,Outlet
West Gear,1128299,6/29/2020,South,Tennessee,Knoxville,Men's Apparel,55,500,275000,110000,0.4,Outlet
Foot Locker,1185732,8/10/2020,South,Tennessee,Knoxville,Women's Apparel,65,750,487500,292500,0.6,Outlet
Foot Locker,1185732,8/11/2020,South,Tennessee,Knoxville,Men's Street Footwear,35,425,148750,59500,0.4,Outlet
Foot Locker,1185732,8/12/2020,Midwest,Nebraska,Omaha,Men's Apparel,45,125,56250,19687.5,0.35,Outlet
Foot Locker,1185732,8/13/2020,Midwest,Nebraska,Omaha,Women's Apparel,35,225,78750,39375,0.5,Outlet
Foot Locker,1185732,8/14/2020,Midwest,Nebraska,Omaha,Men's Street Footwear,35,475,166250,66500,0.4,Outlet
West Gear,1185732,8/15/2020,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35,125,43750,15312.5,0.35,Outlet
Foot Locker,1185732,8/16/2020,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40,300,120000,42000,0.35,Outlet
Foot Locker,1185732,8/17/2020,Midwest,Nebraska,Omaha,Women's Street Footwear,35,225,78750,27562.5,0.35,Outlet
